SeriesCode,Development relevance,Statistical concept and methodology,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Base Period,Aggregation method,Limitations and exceptions,Notes from original source,General comments
SH.XPD.PCAP.PP.KD,"Health systems - the combined arrangements of institutions and actions whose primary purpose is to promote, restore, or maintain health (World Health Organization, World Health Report 2000) - are increasingly being recognized as key to combating disease and improving the health status of populations. The World Bank's Healthy Development: Strategy for Health, Nutrition, and Population Results emphasizes the need to strengthen health systems, which are weak in many countries, in order to increase the effectiveness of programs aimed at reducing specific diseases and further reduce morbidity and mortality. To evaluate health systems, the World Health Organization (WHO) has recommended that key components - such as financing, service delivery, workforce, governance, and information - be monitored using several key indicators. The data are a subset of the key indicators. Monitoring health systems allows the effectiveness, efficiency, and equity of different health system models to be compared. Health system data also help identify weaknesses and strengths and areas that need investment, such as additional health facilities, better health information systems, or better trained human resources.","Health expenditure data are broken down into public and private expenditures. In general, low-income economies have a higher share of private health expenditure than do middle- and high-income countries, and out-of-pocket expenditure (direct payments by households to providers) makes up the largest proportion of private expenditures. High out-of-pocket expenditures may discourage people from accessing preventive or curative care and can impoverish households that cannot afford needed care. Health financing data are collected through national health accounts, which systematically, comprehensively, and consistently monitoring health system resource flows. To establish a national health account, countries must define the boundaries of the health system and classify health expenditure information along several dimensions, including sources of financing, providers of health services, functional use of health expenditures, and beneficiaries of expenditures. The accounting system can then provide an accurate picture of resource envelopes and financial flows and allow analysis of the equity and efficiency of financing to inform policy.","Health expenditure per capita, PPP (constant 2005 international $)",,"Total health expenditure is the sum of public and private health expenditures as a ratio of total population. It covers the provision of health services (preventive and curative), family planning activities, nutrition activities, and emergency aid designated for health but does not include provision of water and sanitation. Data are in international dollars converted using 2005 purchasing power parity (PPP) rates.",World Health Organization National Health Account database (see http://apps.who.int/nha/database/DataExplorerRegime.aspx for the most recent updates).,Health: Health services,Annual,2005,Weighted average,"Country data may differ in terms of definitions, data collection methods population coverage and estimation methods used.

In countries where the fiscal year spans two calendar years, expenditure data have been allocated to the later year (for example, 2009 data cover fiscal year 2008/09). Many low-income countries use Demographic and Health Surveys or Multiple Indicator Cluster Surveys funded by donors to obtain health system data.","PPP series resulting from the 2005 International comparison project (ICP) estimated by the World Bank has been used. In countries where this is not available, PPPs are estimated by the WHO. All the indicators refer to expenditures by financing agent except external resources which is a financing source. When the number is smaller than 0.05%, the percentage may appear as zero. In countries where the fiscal year begins in July, expenditure data have been allocated to the later calendar year (for example, 2008 data will cover the fiscal year 2007–08), unless otherwise stated for the country. For 2008, the use of yearly average exchange rates (compared to year-end exchange rates) may not fully represent the impact of the global financial crisis.",
SH.XPD.PUBL.ZS,,,"Health expenditure, public (% of GDP)",,"Public health expenditure consists of recurrent and capital spending from government (central and local) budgets, external borrowings and grants (including donations from international agencies and nongovernmental organizations), and social (or compulsory) health insurance funds.",World Health Organization National Health Account database (see http://apps.who.int/nha/database/DataExplorerRegime.aspx for the most recent updates).,Health: Health services,Annual,,Weighted average,,"All the indicators refer to expenditures by financing agent except external resources which is a financing source. When the number is smaller than 0.05%, the percentage may appear as zero. In countries where the fiscal year begins in July, expenditure data have been allocated to the later calendar year (for example, 2008 data will cover the fiscal year 2007–08), unless otherwise stated for the country. For 2008, the use of yearly average exchange rates (compared to year-end exchange rates) may not fully represent the impact of the global financial crisis.",
SI.POV.DDAY,"Reducing extreme poverty is the first Millennium Development Goal. Monitoring poverty is important on the global development agenda as well as on the national development agenda of many countries. The World Bank produced its first global poverty estimates for developing countries for World Development Report 1990: Poverty (World Bank 1990) using household survey data for 22 countries (Ravallion, Datt, and van de Walle 1991). Since then there has been considerable expansion in the number of countries that field household income and expenditure surveys. The World Bank's Development Research Group maintains a database that is updated annually as new survey data become available (and thus may contain more recent data or revisions) and conducts a major reassessment of progress against poverty about every three years. PovcalNet is an interactive computational tool that allows users to replicate these internationally comparable $1.25 and $2 a day global, regional and country-level poverty estimates and to compute poverty measures for custom country groupings and for different poverty lines. The Poverty and Equity Data portal provides access to the database and user-friendly dashboards with graphs and interactive maps that visualize trends in key poverty and inequality indicators for different regions and countries. The country dashboards display trends in poverty measures based on the national poverty lines alongside the internationally comparable estimates, produced from and consistent with PovcalNet.","International comparisons of poverty estimates entail both conceptual and practical problems. Countries have different definitions of poverty, and consistent comparisons across countries can be difficult. Local poverty lines tend to have higher purchasing power in rich countries, where more generous standards are used, than in poor countries.

International poverty line in local currency is the international poverty lines of $1.25 and $2 a day in 2005 prices, converted to local currency using the purchasing power parity (PPP) conversion factors estimated by the International Comparison Program. Poverty measures based on international poverty lines attempt to hold the real value of the poverty line constant across countries, as is done when making comparisons over time. Since World Development Report 1990 the World Bank has aimed to apply a common standard in measuring extreme poverty, anchored to what poverty means in the world's poorest countries. The welfare of people living in different countries can be measured on a common scale by adjusting for differences in the purchasing power of currencies. The commonly used $1 a day standard, measured in 1985 international prices and adjusted to local currency using purchasing power parities (PPPs), was chosen for World Development Report 1990 because it was typical of the poverty lines in low-income countries at the time.

Early editions of World Development Indicators used PPPs from the Penn World Tables to convert values in local currency to equivalent purchasing power measured in U.S dollars. Later editions used 1993 consumption PPP estimates produced by the World Bank. International poverty lines were recently revised using the new data on PPPs compiled in the 2005 round of the International Comparison Program, along with data from an expanded set of household income and expenditure surveys. The new extreme poverty line is set at $1.25 a day in 2005 PPP terms, which represents the mean of the poverty lines found in the poorest 15 countries ranked by per capita consumption. The new poverty line maintains the same standard for extreme poverty - the poverty line typical of the poorest countries in the world - but updates it using the latest information on the cost of living in developing countries. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.

The statistics reported here are based on consumption data or, when unavailable, on income surveys. Analysis of some 20 countries for which income and consumption expenditure data were both available from the same surveys found income to yield a higher mean than consumption but also higher inequality. When poverty measures based on consumption and income were compared, the two effects roughly cancelled each other out: there was no significant statistical difference.",Poverty headcount ratio at $1.25 a day (PPP) (% of population),,"Population below $1.25 a day is the percentage of the population living on less than $1.25 a day at 2005 international prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",Poverty: Poverty rates,Annual,,,"The World Bank's internationally comparable poverty monitoring database now draws on income or detailed consumption data collected from interviews with 1.23 million randomly sampled households through more than 850 household surveys collected by national statistical offices in nearly 130 countries. Despite progress in the last decade, the challenges of measuring poverty remain. The timeliness, frequency, quality, and comparability of household surveys need to increase substantially, particularly in the poorest countries. The availability and quality of poverty monitoring data remains low in small states, countries with fragile situations, and low-income countries and even some middle-income countries. The low frequency and lack of comparability of the data available in some countries create uncertainty over the magnitude of poverty reduction. The need to improve household survey programs for monitoring poverty is clearly urgent. But institutional, political, and financial obstacles continue to limit data collection, analysis, and public access.

Besides the frequency and timeliness of survey data, other data quality issues arise in measuring household living standards. The surveys ask detailed questions on sources of income and how it was spent, which must be carefully recorded by trained personnel. Income is generally more difficult to measure accurately, and consumption comes closer to the notion of living standards. And income can vary over time even if living standards do not. But consumption data are not always available: the latest estimates reported here use consumption data for about two-thirds of countries.

However, even similar surveys may not be strictly comparable because of differences in timing or in the quality and training of enumerators. Comparisons of countries at different levels of development also pose a potential problem because of differences in the relative importance of the consumption of nonmarket goods. The local market value of all consumption in kind (including own production, particularly important in underdeveloped rural economies) should be included in total consumption expenditure but may not be. Most survey data now include valuations for consumption or income from own production, but valuation methods vary.",,
SI.POV.GINI,,"The Gini index measures the area between the Lorenz curve and a hypothetical line of absolute equality, expressed as a percentage of the maximum area under the line. A Lorenz curve plots the cumulative percentages of total income received against the cumulative number of recipients, starting with the poorest individual. Thus a Gini index of 0 represents perfect equality, while an index of 100 implies perfect inequality.

The Gini index provides a convenient summary measure of the degree of inequality. Data on the distribution of income or consumption come from nationally representative household surveys. Where the original data from the household survey were available, they have been used to calculate the income or consumption shares by quintile. Otherwise, shares have been estimated from the best available grouped data.

The distribution data have been adjusted for household size, providing a more consistent measure of per capita income or consumption. No adjustment has been made for spatial differences in cost of living within countries, because the data needed for such calculations are generally unavailable. For further details on the estimation method for low- and middle-income economies, see Ravallion and Chen (1996).

Survey year is the year in which the underlying household survey data were collected or, when the data collection period bridged two calendar years, the year in which most of the data were collected.",GINI index,,"Gini index measures the extent to which the distribution of income (or, in some cases, consumption expenditure) among individuals or households within an economy deviates from a perfectly equal distribution. A Lorenz curve plots the cumulative percentages of total income received against the cumulative number of recipients, starting with the poorest individual or household. The Gini index measures the area between the Lorenz curve and a hypothetical line of absolute equality, expressed as a percentage of the maximum area under the line. Thus a Gini index of 0 represents perfect equality, while an index of 100 implies perfect inequality.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",Poverty: Income distribution,Annual,,,"Gini coefficients are not unique. It is possible for two different Lorenz curves to give rise to the same Gini coefficient. Furthermore it is possible for the Gini coefficient of a developing country to rise (due to increasing inequality of income) while the number of people in absolute poverty decreases. This is because the Gini coeficient measures relative, not absolute, wealth.

Another limitation of the Gini coefficient is that it is not additive across groups, i.e. the total Gini of a society is not equal to the sum of the Ginis for its sub-groups. Thus, country-level Gini coefficients cannot be aggregated into regional or global Ginis, although a Gini coefficient can be computed for the aggregate.

Because the underlying household surveys differ in method and type of data collected, data on the distribution of income or consumption are not strictly comparable across countries. Two sources of non-comparability should be noted in particular. First, the surveys can differ in many respects, including whether they use income or consumption expenditure as the living standard indicator. The distribution of income is typically more unequal than the distribution of consumption. In addition, the definitions of income used differ more often among surveys. Consumption is usually a much better welfare indicator, particularly in developing countries. Second, households differ in size (number of members) and in the extent of income sharing among members. And individuals differ in age and consumption needs. Differences among countries in these respects may bias comparisons of distribution. These problems are diminishing as survey methods improve and become more standardized, but achieving strict comparability is still impossible.

World Bank staff have made an effort to ensure that the data are as comparable as possible. Wherever possible, consumption has been used rather than income. Income distribution and Gini indexes for high-income economies are calculated directly from the Luxembourg Income Study database, using an estimation method consistent with that applied for developing countries.",,
SI.POV.NAHC,"Estimates of poverty rates and gaps at national poverty lines are useful for comparing poverty across time within but not across countries. See poverty indicators at international poverty lines for comparisons across countries.

For countries with an active poverty monitoring program, the World Bank - in collaboration with national institutions, other development agencies, and civil society - periodically prepares poverty assessments and other analytical reports to assess the extent and causes of poverty. These reports review levels and changes in poverty indicators over time and across regions within countries, assess the impact of growth and public policy on poverty and inequality, review the adequacy of monitoring and evaluation, and contain detailed technical overviews of the underlying household survey data and poverty measurement methods used. The reports are a key source of comprehensive information on poverty indicators at national poverty lines and generally feed into country-owned processes to reduce poverty, build in-country capacity, and support joint work.

An increasing number of countries have their own national programs to monitor and disseminate official poverty estimates at national poverty lines along with well documented household survey data sources and estimation methodology. Estimates from national poverty monitoring programs and the underlying methods used are periodically reviewed by the World Bank.","Poverty estimates at national poverty lines are computed from household survey data collected from nationally representative samples of households. These data must contain sufficiently detailed information to compute a comprehensive estimate of total household income or consumption (including consumption or income from own production), from which it is possible to construct a correctly weighted distribution of per capita consumption or income.

National poverty lines are the benchmark for estimating poverty indicators that are consistent with the country's specific economic and social circumstances. National poverty lines reflect local perceptions of the level and composition of consumption or income needed to be non-poor. The perceived boundary between poor and non-poor typically rises with the average income of a country and thus does not provide a uniform measure for comparing poverty rates across countries. While poverty rates at national poverty lines should not be used for comparing poverty rates across countries, they are appropriate for guiding and monitoring the results of country-specific national poverty reduction strategies.

Almost all national poverty lines are anchored to the cost of a food bundle - based on the prevailing national diet of the poor - that provides adequate nutrition for good health and normal activity, plus an allowance for nonfood spending. National poverty lines must be adjusted for inflation between survey years to remain constant in real terms and thus allow for meaningful comparisons of poverty over time. Because diets and consumption baskets change over time, countries periodically recalculate the poverty line based on new survey data. In such cases the new poverty lines should be deflated to obtain comparable poverty estimates from earlier years. The data is based on the two most recent years for which survey data are available.

Survey year is the year in which the underlying household survey data were collected or, when the data collection period bridged two calendar years, the year in which most of the data were collected.",Poverty headcount ratio at national poverty line (% of population),,National poverty rate is the percentage of the population living below the national poverty line. National estimates are based on population-weighted subgroup estimates from household surveys.,"World Bank, Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.",Poverty: Poverty rates,Annual,,,"As with any indicator measured from household surveys, data quality can affect the precision of poverty estimates and their comparability over time. These include selective survey nonresponse, seasonality effects, differences in the number of income or consumption items in the questionnaire, and the time period over which respondents are asked to recall their expenditures.

Because national poverty lines are specific to each country's economic and social circumstances, poverty estimates at national poverty lines cannot be compared across countries, nor can be aggregated to regional or global levels.",,This series only includes estimates that to the best of our knowledge are reasonably comparable over time.
SL.AGR.EMPL.FE.ZS,"Sectoral information is particularly useful in identifying broad shifts in employment and stages of development. In the textbook case of economic development, labour flows from agriculture and other labour-intensive primary activities to industry and finally to the services sector; in the process, workers migrate from rural to urban areas.

 The breakdown of the indicator by sex allows for analysis of gender segregation of employment by specific sector. Women may be drawn into lower-paying service activities that allow for more flexible work schedules thus making it easier to balance family responsibilities with work life. Segregation of women in certain sectors may also result from cultural attitudes that prevent them from entering industrial employment.
Segregating one sex in a narrow range of occupations significantly reduces economic efficiency by reducing labor market flexibility and thus the economy's ability to adapt to change. This segregation is particularly harmful for women, who have a much narrower range of labor market choices and lower levels of pay than men. But it is also detrimental to men when job losses are concentrated in industries dominated by men and job growth is centered in service occupations, where women have better chances, as has been the recent experience in many countries.","Employment is defined as persons above a specified age who performed any work at all, in the reference period, for pay or profit (or pay in kind), or were temporarily absent from a job for such reasons as illness, maternity or parental leave, holiday, training or industrial dispute. Unpaid family workers who work for at least one hour should be included in the count of employment, although many countries use a higher hour limit in their definition.
The agriculture sector comprises activities in agriculture, hunting, forestry and fishing, in accordance with major division 1 of ISIC 2, categories A and B of ISIC 3 and category A of ISIC 4.

The International Labour Organization (ILO) classifies economic activity using the International Standard Industrial Classification (ISIC) of All Economic Activities, revision 2 (1968), revision 3 (1990), and revision 4 (2008). Because this classification is based on where work is performed (industry) rather than type of work performed (occupation), all of an enterprise's employees are classified under the same industry, regardless of their trade or occupation. The categories should sum to 100 percent. Where they do not, the differences are due to workers who are not classified by economic activity.

Data on employment are drawn from a variety of sources including labor force surveys, household surveys, official estimates, and censuses. In a very few cases and only where other types of sources are not available, information is derived from insurance records and establishment surveys  Employment data include both full-time and part-time workers.","Employees, agriculture, female (% of female employment)",,"Employees are people who work for a public or private employer and receive remuneration in wages, salary, commission, tips, piece rates, or pay in kind. Agriculture corresponds to division 1 (ISIC revision 2) or tabulation categories A and B (ISIC revision 3) and includes hunting, forestry, and fishing.","International Labour Organization, Key Indicators of the Labour Market database.",Labor & Social Protection: Economic activity,Annual,,Weighted average,"There are many differences in how countries define and measure employment status, particularly members of the armed forces, self-employed workers, and unpaid family workers. Where members of the armed forces are included, they are allocated to the service sector, causing that sector to be somewhat overstated relative to the service sector in economies where they are excluded. Where data are obtained from establishment surveys, data cover only employees; thus self-employed and unpaid family workers are excluded. In such cases the employment share of the agricultural sector is severely underreported. Caution should be also used where the data refer only to urban areas, which record little or no agricultural work. Moreover, the age group and area covered could differ by country or change over time within a country. For detailed information, consult the original source.

Countries also take different approaches to the treatment of unemployed people. In most countries unemployed people with previous job experience are classified according to their last job. But in some countries the unemployed and people seeking their first job are not classifiable by economic activity. Because of these differences, the size and distribution of employment by economic activity may not be fully comparable across countries.

The ILO reports data by major divisions of the ISIC revision 2, revision 3, or revision 4. Broad classification such as employment by agriculture, industry, and services may obscure fundamental shifts within countries' industrial patterns. A slight majority of countries report economic activity according to the ISIC revision 3 instead of revision 2 or revision 4. The use of one classification or the other should not have a significant impact on the information for the employment of the three broad sectorsdata.",,"Relevance to gender indicator: Men still make up the majority of people employed in all three sectors, but the gender gap is biggest in industry. Employment in agriculture is also male-dominated, although not as much as industry. Segregating one sex in a narrow range of occupations significantly reduces economic efficiency by reducing labor market flexibility and thus the economy’s ability to adapt to change. This segregation is particularly harmful for women, who have a much narrower range of labor market choices and lower levels of pay than men. But it is also detrimental to men when job losses are concentrated in industries dominated by men and job growth is centered in service occupations, where women have better chances, as has been the recent experience in many countries.
There are several explanations for the rising importance of service jobs for women. Many service jobs— such as nursing and social and clerical work—are considered “feminine” because of a perceived similarity to women’s traditional roles. Women often do not receive the training needed to take advantage of changing employment opportunities. And the greater availability of part-time work in service industries may lure more women, although it is unclear whether this is a cause or an effect"
SL.AGR.EMPL.MA.ZS,"Sectoral information is particularly useful in identifying broad shifts in employment and stages of development. In the textbook case of economic development, labour flows from agriculture and other labour-intensive primary activities to industry and finally to the services sector; in the process, workers migrate from rural to urban areas.

 The breakdown of the indicator by sex allows for analysis of gender segregation of employment by specific sector. Women may be drawn into lower-paying service activities that allow for more flexible work schedules thus making it easier to balance family responsibilities with work life. Segregation of women in certain sectors may also result from cultural attitudes that prevent them from entering industrial employment.
Segregating one sex in a narrow range of occupations significantly reduces economic efficiency by reducing labor market flexibility and thus the economy's ability to adapt to change. This segregation is particularly harmful for women, who have a much narrower range of labor market choices and lower levels of pay than men. But it is also detrimental to men when job losses are concentrated in industries dominated by men and job growth is centered in service occupations, where women have better chances, as has been the recent experience in many countries.","Employment is defined as persons above a specified age who performed any work at all, in the reference period, for pay or profit (or pay in kind), or were temporarily absent from a job for such reasons as illness, maternity or parental leave, holiday, training or industrial dispute. Unpaid family workers who work for at least one hour should be included in the count of employment, although many countries use a higher hour limit in their definition.
The agriculture sector comprises activities in agriculture, hunting, forestry and fishing, in accordance with major division 1 of ISIC 2, categories A and B of ISIC 3 and category A of ISIC 4.

The International Labour Organization (ILO) classifies economic activity using the International Standard Industrial Classification (ISIC) of All Economic Activities, revision 2 (1968), revision 3 (1990), and revision 4 (2008). Because this classification is based on where work is performed (industry) rather than type of work performed (occupation), all of an enterprise's employees are classified under the same industry, regardless of their trade or occupation. The categories should sum to 100 percent. Where they do not, the differences are due to workers who are not classified by economic activity.

Data on employment are drawn from a variety of sources including labor force surveys, household surveys, official estimates, and censuses. In a very few cases and only where other types of sources are not available, information is derived from insurance records and establishment surveys  Employment data include both full-time and part-time workers.","Employees, agriculture, male (% of male employment)",,"Employees are people who work for a public or private employer and receive remuneration in wages, salary, commission, tips, piece rates, or pay in kind. Agriculture corresponds to division 1 (ISIC revision 2) or tabulation categories A and B (ISIC revision 3) and includes hunting, forestry, and fishing.","International Labour Organization, Key Indicators of the Labour Market database.",Labor & Social Protection: Economic activity,Annual,,Weighted average,"There are many differences in how countries define and measure employment status, particularly members of the armed forces, self-employed workers, and unpaid family workers. Where members of the armed forces are included, they are allocated to the service sector, causing that sector to be somewhat overstated relative to the service sector in economies where they are excluded. Where data are obtained from establishment surveys, data cover only employees; thus self-employed and unpaid family workers are excluded. In such cases the employment share of the agricultural sector is severely underreported. Caution should be also used where the data refer only to urban areas, which record little or no agricultural work. Moreover, the age group and area covered could differ by country or change over time within a country. For detailed information, consult the original source.

Countries also take different approaches to the treatment of unemployed people. In most countries unemployed people with previous job experience are classified according to their last job. But in some countries the unemployed and people seeking their first job are not classifiable by economic activity. Because of these differences, the size and distribution of employment by economic activity may not be fully comparable across countries.

The ILO reports data by major divisions of the ISIC revision 2, revision 3, or revision 4. Broad classification such as employment by agriculture, industry, and services may obscure fundamental shifts within countries' industrial patterns. A slight majority of countries report economic activity according to the ISIC revision 3 instead of revision 2 or revision 4. The use of one classification or the other should not have a significant impact on the information for the employment of the three broad sectorsdata.",,"Relevance to gender indicator: Men still make up the majority of people employed in all three sectors, but the gender gap is biggest in industry. Employment in agriculture is also male-dominated, although not as much as industry. Segregating one sex in a narrow range of occupations significantly reduces economic efficiency by reducing labor market flexibility and thus the economy’s ability to adapt to change. This segregation is particularly harmful for women, who have a much narrower range of labor market choices and lower levels of pay than men. But it is also detrimental to men when job losses are concentrated in industries dominated by men and job growth is centered in service occupations, where women have better chances, as has been the recent experience in many countries.
There are several explanations for the rising importance of service jobs for women. Many service jobs—such as nursing and social and clerical work—are considered “feminine” because of a perceived similarity to women’s traditional roles. Women often do not receive the training needed to take advantage of changing employment opportunities. And the greater availability of part-time work in service industries may lure more women, although it is unclear whether this is a cause or an effect."
SL.EMP.INSV.FE.ZS,"Data on women in wage employment in the nonagricultural sector show the extent to which women have access to paid employment - which affects their integration into the monetary economy - and indicate the degree to which labor markets are open to women in industry and services - which affects not only equal employment opportunity for women, but also economic efficiency through flexibility of the labor market and the economy's capacity to adapt to changes over time.

In many developing countries nonagricultural wage employment accounts for only a small portion of total employment. As a result, the contribution of women to the national economy is underestimated and therefore misrepresented. The indicator is difficult to interpret without additional information on the share of women in total employment, which allows an assessment to be made of whether women are under- or overrepresented in nonagricultural wage employment. The indicator does not reveal differences in the quality of nonagricultural wage employment in terms of earnings, work conditions, or legal and social protection. The indicator also does not reflect whether women reap the economic benefits of such employment. Finally, female employment and the employment share of the agricultural sector for both men and women tend to be underreported.

Women's wage work is important for economic growth and the well-being of families. But women often face such obstacles as restricted access to credit markets, capital, land, and training and education; time constraints due to traditional family responsibilities; and labor market bias and discrimination. These obstacles force women to limit their full participation in paid economic activities, to be less productive, and to receive lower wages.","Employment is defined as persons above a specified age who performed any work at all, in the reference period, for pay or profit (or pay in kind), or were temporarily absent from a job for such reasons as illness, maternity or parental leave, holiday, training or industrial dispute. Unpaid family workers who work for at least one hour should be included in the count of employment, although many countries use a higher hour limit in their definition.The labor force is the supply of labor available for producing goods and services in an economy. It includes people who are currently employed and people who are unemployed but seeking work as well as first-time job-seekers. Not everyone who works is included, however. Unpaid workers, family workers, and students are often omitted, and some countries do not count members of the armed forces. Labor force size tends to vary during the year as seasonal workers enter and leave. Usually active population is measured in relation to a long reference period such as a year, and the currently active population (labor force) is measured in relation to a short reference period such as one day or one week.

Labor force statistics by gender is important to monitor gender disparities in employment patterns. Estimates of women in the labor force and employment are generally lower than those of men and are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.",Share of women employed in the nonagricultural sector (% of total nonagricultural employment),,"Share of women employed in the nonagricultural sector is the share of female workers in the nonagricultural sector (industry and services), expressed as a percentage of total employment in the nonagricultural sector. Industry includes mining and quarrying (including oil production), manufacturing, construction, electricity, gas, and water, corresponding to divisions 2-5 (ISIC revision 2) or tabulation categories C-F (ISIC revision 3). Services include wholesale and retail trade and restaurants and hotels; transport, storage, and communications; financing, insurance, real estate, and business services; and community, social, and personal services-corresponding to divisions 6-9 (ISIC revision 2) or tabulation categories G-P (ISIC revision 3).","International Labour Organization, Key Indicators of the Labour Market database.",Labor & Social Protection: Economic activity,Annual,,Weighted average,"There are many differences in how countries define and measure employment status, particularly members of the armed forces, self-employed workers, and unpaid family workers. Where members of the armed forces are included, they are allocated to the service sector, causing that sector to be somewhat overstated relative to the service sector in economies where they are excluded. Where data are obtained from establishment surveys, data cover only employees; thus self-employed and unpaid family workers are excluded. In such cases the employment share of the agricultural sector is severely underreported. Caution should be also used where the data refer only to urban areas, which record little or no agricultural work. Moreover, the age group and area covered could differ by country or change over time within a country. For detailed information, consult the original source.

Countries also take different approaches to the treatment of unemployed people. In most countries unemployed people with previous job experience are classified according to their last job. But in some countries the unemployed and people seeking their first job are not classifiable by economic activity. Because of these differences, the size and distribution of employment by economic activity may not be fully comparable across countries.
The reference period of a census or survey is another important source of differences: in some countries data refer to people's status on the day of the census or survey or during a specific period before the inquiry date, while in others data are recorded without reference to any period. In developing countries, where the household is often the basic unit of production and all members contribute to output, but some at low intensity or irregularly, the estimated labor force may be much smaller than the numbers actually working.",,"Relevance to gender indicator: Women’s share in paid employment in the nonagricultural sector has risen marginally in some regions but remains less than 20 percent in South Asia and Sub-Saharan Africa. Women are also clearly segregated in sectors that are generally known to be lower paid. And in the sectors where women dominate, such as health care, women rarely hold upper-level management jobs."
SL.EMP.MPYR.FE.ZS,,,"Employers, female (% of employment)",,"Employers refers are those workers who, working on their own account or with one or a few partners, hold the type of jobs defined as a ""self-employment jobs"" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced), and, in this capacity, have engaged, on a continuous basis, one or more persons to work for them as employee(s).",ILO Key Indicators of the Labour Market (KILM).,Labor & Social Protection: Economic activity,Annual,,Weighted average,,,
SL.EMP.MPYR.MA.ZS,,,"Employers, male (% of employment)",,"Employers refers are those workers who, working on their own account or with one or a few partners, hold the type of jobs defined as a ""self-employment jobs"" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced), and, in this capacity, have engaged, on a continuous basis, one or more persons to work for them as employee(s).",ILO Key Indicators of the Labour Market (KILM).,Labor & Social Protection: Economic activity,Annual,,Weighted average,,,
SL.EMP.MPYR.ZS,,,"Employers, total (% of employment)",,"Employers refers are those workers who, working on their own account or with one or a few partners, hold the type of jobs defined as a ""self-employment jobs"" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced), and, in this capacity, have engaged, on a continuous basis, one or more persons to work for them as employee(s).",ILO Key Indicators of the Labour Market (KILM).,Labor & Social Protection: Economic activity,Annual,,Weighted average,,,
SL.EMP.OWAC.FE.ZS,,,"Own-account workers, female (% of total female employment)","Own-account workers are workers who, working on their own account or with one more more partners, hold the types of jobs defined as ""self-employment jobs"" and have not engaged on a continuous basis any employees to work for them. Own account workers are a subcategory of ""self-employed"".","Own-account workers are workers who, working on their own account or with one more more partners, hold the types of jobs defined as ""self-employment jobs"" and have not engaged on a continuous basis any employees to work for them. Own account workers are a subcategory of ""self-employed"".","International Labour Organization, Key Indicators of the Labour Market database.",Labor,,,,,,
SL.EMP.OWAC.MA.ZS,,,"Own-account workers, male (% of total male employment)","Own-account workers are workers who, working on their own account or with one more more partners, hold the types of jobs defined as ""self-employment jobs"" and have not engaged on a continuous basis any employees to work for them. Own account workers are a subcategory of ""self-employed"".","Own-account workers are workers who, working on their own account or with one more more partners, hold the types of jobs defined as ""self-employment jobs"" and have not engaged on a continuous basis any employees to work for them. Own account workers are a subcategory of ""self-employed"".",,Labor,,,,,,
